feature,coefficient,abs_coefficient
num__baseline_updrs3,0.9600127536641969,0.9600127536641969
num__NP3RTCON,0.9068356389335761,0.9068356389335761
num__NP3FACXP,0.871599415276645,0.871599415276645
num__NP3BRADY,0.8700273875619936,0.8700273875619936
num__NP3RIGRU,0.7579833674198597,0.7579833674198597
num__NP3FTAPL,0.7357020059712411,0.7357020059712411
num__NP3RIGLU,0.7045055984335515,0.7045055984335515
num__NP3FTAPR,0.6821334339802648,0.6821334339802648
num__NP3POSTR,0.6791877736726384,0.6791877736726384
num__NP3RTARU,0.6727552570712386,0.6727552570712386
num__NP3HMOVL,0.6674644602646569,0.6674644602646569
num__NP3PRSPL,0.6037786705070357,0.6037786705070357
num__NP3PRSPR,0.5952142721373007,0.5952142721373007
num__NP2TRMR,0.5858009543063326,0.5858009543063326
num__NP3RIGN,0.5838134690908188,0.5838134690908188
num__NP3TTAPL,0.580606022852736,0.580606022852736
num__NP3RTALU,0.5670011607356022,0.5670011607356022
num__NP3TTAPR,0.5562577617611875,0.5562577617611875
num__NP3SPCH,0.5463609536560631,0.5463609536560631
num__NP3RIGLL,0.5258078907552424,0.5258078907552424
num__NP3GAIT,0.5198859715718509,0.5198859715718509
num__NP3HMOVR,0.5185022075196092,0.5185022075196092
num__NP3RIGRL,0.5017097352650277,0.5017097352650277
num__NHY,0.3792923212346858,0.3792923212346858
num__NP2PTOT,0.3751376766934918,0.3751376766934918
cat__PDSTATE_ON,0.3641551842878778,0.3641551842878778
cat__PDSTATE_OFF,-0.36415139159909177,0.36415139159909177
num__NP3KTRML,0.36293125918133695,0.36293125918133695
num__NP2DRES,0.326852935284912,0.326852935284912
num__NP2WALK,0.3101359528337469,0.3101359528337469
num__NP3LGAGL,0.2927996012808032,0.2927996012808032
num__NP2HWRT,0.28621479383077997,0.28621479383077997
num__NP2RISE,0.24438620639448294,0.24438620639448294
num__NP3LGAGR,0.22499610820858867,0.22499610820858867
num__NP3PTRML,0.20812804322386527,0.20812804322386527
num__NP2TURN,0.2032837088014512,0.2032837088014512
num__NP3PSTBL,0.20252520662718312,0.20252520662718312
num__NP3KTRMR,0.20251777077768993,0.20251777077768993
num__NP3PTRMR,0.19967311001834123,0.19967311001834123
num__NP3RTALJ,0.19815224117887198,0.19815224117887198
num__NP3RTARL,0.1948995422612139,0.1948995422612139
num__NP2EAT,0.18737731432743157,0.18737731432743157
num__NP2SALV,0.1752088514381955,0.1752088514381955
num__visit_order,0.17030681487659158,0.17030681487659158
num__moca_score,-0.15629006006967622,0.15629006006967622
num__NP3RISNG,0.1547696518545563,0.1547696518545563
num__NP2SPCH,0.13716256946193775,0.13716256946193775
num__approx_age,0.1325852158345982,0.1325852158345982
num__NP2HYGN,0.11681655339746454,0.11681655339746454
num__NP3RTALL,0.10150763390081669,0.10150763390081669
num__NP1HALL,0.09091482243671288,0.09091482243671288
num__ENROLL_AGE,0.05651737769489199,0.05651737769489199
num__RAWHITE,-0.05284569255229119,0.05284569255229119
num__RABLACK,0.05055825516047508,0.05055825516047508
num__HANDED,-0.045923375266600716,0.045923375266600716
num__NP2FREZ,0.04328383844211526,0.04328383844211526
num__NP1ANXS,0.023641982924459414,0.023641982924459414
num__NP3FRZGT,-0.005934623367945364,0.005934623367945364
num__NP1COG,0.004004193812639699,0.004004193812639699
num__is_male,0.0,0.0
num__is_pd,0.0,0.0
num__NP1RTOT,-0.0,0.0
num__RAASIAN,0.0,0.0
num__NP1DPRS,-0.0,0.0
num__NP1APAT,-0.0,0.0
num__NP1DDS,0.0,0.0
num__NP2HOBB,0.0,0.0
num__NP2SWAL,0.0,0.0
num__HISPLAT,-0.0,0.0
